DATE,ISIN,Coupon Rate,Issue Date,Maturity Date,Adj Close
1/19/2024,CA135087J546,0.0225,10/5/2018,3/1/2024,0.99714
1/18/2024,CA135087J546,0.0225,10/5/2018,3/1/2024,0.99704
1/17/2024,CA135087J546,0.0225,10/5/2018,3/1/2024,0.99677
1/16/2024,CA135087J546,0.0225,10/5/2018,3/1/2024,0.9968
1/15/2024,CA135087J546,0.0225,10/5/2018,3/1/2024,0.99676
1/12/2024,CA135087J546,0.0225,10/5/2018,3/1/2024,0.99671
1/11/2024,CA135087J546,0.0225,10/5/2018,3/1/2024,0.99654
1/10/2024,CA135087J546,0.0225,10/5/2018,3/1/2024,0.9965
1/9/2024,CA135087J546,0.0225,10/5/2018,3/1/2024,0.9964
1/8/2024,CA135087J546,0.0225,10/5/2018,3/1/2024,0.9963
1/19/2024,CA135087J967,0.015,4/5/2019,9/1/2024,0.9785
1/18/2024,CA135087J967,0.015,4/5/2019,9/1/2024,0.9782
1/17/2024,CA135087J967,0.015,4/5/2019,9/1/2024,0.9786
1/16/2024,CA135087J967,0.015,4/5/2019,9/1/2024,0.9789
1/15/2024,CA135087J967,0.015,4/5/2019,9/1/2024,0.9793
1/12/2024,CA135087J967,0.015,4/5/2019,9/1/2024,0.9785
1/11/2024,CA135087J967,0.015,4/5/2019,9/1/2024,0.9783
1/10/2024,CA135087J967,0.015,4/5/2019,9/1/2024,0.9783
1/9/2024,CA135087J967,0.015,4/5/2019,9/1/2024,0.9786
1/8/2024,CA135087J967,0.015,4/5/2019,9/1/2024,0.978
1/19/2024,CA135087K528,0.0125,10/11/2019,3/1/2025,0.96432
1/18/2024,CA135087K528,0.0125,10/11/2019,3/1/2025,0.96431
1/17/2024,CA135087K528,0.0125,10/11/2019,3/1/2025,0.96424
1/16/2024,CA135087K528,0.0125,10/11/2019,3/1/2025,0.96564
1/15/2024,CA135087K528,0.0125,10/11/2019,3/1/2025,0.96698
1/12/2024,CA135087K528,0.0125,10/11/2019,3/1/2025,0.96657
1/11/2024,CA135087K528,0.0125,10/11/2019,3/1/2025,0.96562
1/10/2024,CA135087K528,0.0125,10/11/2019,3/1/2025,0.96517
1/9/2024,CA135087K528,0.0125,10/11/2019,3/1/2025,0.96462
1/8/2024,CA135087K528,0.0125,10/11/2019,3/1/2025,0.96486
1/19/2024,CA135087K940,0.005,4/3/2020,9/1/2025,0.94155
1/18/2024,CA135087K940,0.005,4/3/2020,9/1/2025,0.94163
1/17/2024,CA135087K940,0.005,4/3/2020,9/1/2025,0.94162
1/16/2024,CA135087K940,0.005,4/3/2020,9/1/2025,0.94389
1/15/2024,CA135087K940,0.005,4/3/2020,9/1/2025,0.94521
1/12/2024,CA135087K940,0.005,4/3/2020,9/1/2025,0.94525
1/11/2024,CA135087K940,0.005,4/3/2020,9/1/2025,0.94368
1/10/2024,CA135087K940,0.005,4/3/2020,9/1/2025,0.94366
1/9/2024,CA135087K940,0.005,4/3/2020,9/1/2025,0.94331
1/8/2024,CA135087K940,0.005,4/3/2020,9/1/2025,0.94397
1/19/2024,CA135087L518,0.0025,10/9/2020,3/1/2026,0.9251
1/18/2024,CA135087L518,0.0025,10/9/2020,3/1/2026,0.9253
1/17/2024,CA135087L518,0.0025,10/9/2020,3/1/2026,0.9254
1/16/2024,CA135087L518,0.0025,10/9/2020,3/1/2026,0.92835
1/15/2024,CA135087L518,0.0025,10/9/2020,3/1/2026,0.9298
1/12/2024,CA135087L518,0.0025,10/9/2020,3/1/2026,0.93
1/11/2024,CA135087L518,0.0025,10/9/2020,3/1/2026,0.9285
1/10/2024,CA135087L518,0.0025,10/9/2020,3/1/2026,0.92835
1/9/2024,CA135087L518,0.0025,10/9/2020,3/1/2026,0.92785
1/8/2024,CA135087L518,0.0025,10/9/2020,3/1/2026,0.92885
1/19/2024,CA135087L930,0.01,4/16/2021,9/1/2026,0.92995
1/18/2024,CA135087L930,0.01,4/16/2021,9/1/2026,0.9302
1/17/2024,CA135087L930,0.01,4/16/2021,9/1/2026,0.93025
1/16/2024,CA135087L930,0.01,4/16/2021,9/1/2026,0.93395
1/15/2024,CA135087L930,0.01,4/16/2021,9/1/2026,0.9361
1/12/2024,CA135087L930,0.01,4/16/2021,9/1/2026,0.9364
1/11/2024,CA135087L930,0.01,4/16/2021,9/1/2026,0.9347
1/10/2024,CA135087L930,0.01,4/16/2021,9/1/2026,0.93475
1/9/2024,CA135087L930,0.01,4/16/2021,9/1/2026,0.9341
1/8/2024,CA135087L930,0.01,4/16/2021,9/1/2026,0.93545
1/19/2024,CA135087M847,0.0125,10/15/2021,3/1/2027,0.9274
1/18/2024,CA135087M847,0.0125,10/15/2021,3/1/2027,0.9276
1/17/2024,CA135087M847,0.0125,10/15/2021,3/1/2027,0.92795
1/16/2024,CA135087M847,0.0125,10/15/2021,3/1/2027,0.9324
1/15/2024,CA135087M847,0.0125,10/15/2021,3/1/2027,0.9348
1/12/2024,CA135087M847,0.0125,10/15/2021,3/1/2027,0.9345
1/11/2024,CA135087M847,0.0125,10/15/2021,3/1/2027,0.93215
1/10/2024,CA135087M847,0.0125,10/15/2021,3/1/2027,0.93235
1/9/2024,CA135087M847,0.0125,10/15/2021,3/1/2027,0.93195
1/8/2024,CA135087M847,0.0125,10/15/2021,3/1/2027,0.93325
1/19/2024,CA135087N837,0.0275,5/13/2022,9/1/2027,0.96875
1/18/2024,CA135087N837,0.0275,5/13/2022,9/1/2027,0.96925
1/17/2024,CA135087N837,0.0275,5/13/2022,9/1/2027,0.96985
1/16/2024,CA135087N837,0.0275,5/13/2022,9/1/2027,0.97505
1/15/2024,CA135087N837,0.0275,5/13/2022,9/1/2027,0.97795
1/12/2024,CA135087N837,0.0275,5/13/2022,9/1/2027,0.97765
1/11/2024,CA135087N837,0.0275,5/13/2022,9/1/2027,0.97495
1/10/2024,CA135087N837,0.0275,5/13/2022,9/1/2027,0.97555
1/9/2024,CA135087N837,0.0275,5/13/2022,9/1/2027,0.9751
1/8/2024,CA135087N837,0.0275,5/13/2022,9/1/2027,0.9767
1/19/2024,CA135087P576,0.035,10/21/2022,3/1/2028,0.9955
1/18/2024,CA135087P576,0.035,10/21/2022,3/1/2028,0.9963
1/17/2024,CA135087P576,0.035,10/21/2022,3/1/2028,0.99705
1/16/2024,CA135087P576,0.035,10/21/2022,3/1/2028,1.0031
1/15/2024,CA135087P576,0.035,10/21/2022,3/1/2028,1.00645
1/12/2024,CA135087P576,0.035,10/21/2022,3/1/2028,1.0061
1/11/2024,CA135087P576,0.035,10/21/2022,3/1/2028,1.0032
1/10/2024,CA135087P576,0.035,10/21/2022,3/1/2028,1.0039
1/9/2024,CA135087P576,0.035,10/21/2022,3/1/2028,1.00355
1/8/2024,CA135087P576,0.035,10/21/2022,3/1/2028,1.00565
1/19/2024,CA135087Q491,0.0325,4/21/2023,9/1/2028,0.9868
1/18/2024,CA135087Q491,0.0325,4/21/2023,9/1/2028,0.9878
1/17/2024,CA135087Q491,0.0325,4/21/2023,9/1/2028,0.9886
1/16/2024,CA135087Q491,0.0325,4/21/2023,9/1/2028,0.9954
1/15/2024,CA135087Q491,0.0325,4/21/2023,9/1/2028,0.9988
1/12/2024,CA135087Q491,0.0325,4/21/2023,9/1/2028,0.9986
1/11/2024,CA135087Q491,0.0325,4/21/2023,9/1/2028,0.9953
1/10/2024,CA135087Q491,0.0325,4/21/2023,9/1/2028,0.9962
1/9/2024,CA135087Q491,0.0325,4/21/2023,9/1/2028,0.9958
1/8/2024,CA135087Q491,0.0325,4/21/2023,9/1/2028,0.9981
